name,subtext,price,ratting,stock
Brand Weizen 0.0,German Wheat Beer | 0.0% | 30 cl,£ 1.79,(2.96),in-stock
De Eeuwige Jeugd Bokkelul,Bock Beer | 6.5% | 33 cl,£ 3.29,None,in-stock
Lagunitas IPA,IPA | 6.2% | 36 cl,£ 2.79,(3.82),in-stock
Gulpener Château Neubourg,Pilsner & Hoppy Lager | 5.5% | 33 cl,£ 2.69,(3.26),in-stock
Alken Maes Pils,Pilsner & Hoppy Lager | 5.2% | 25 cl,£ 1.99,(2.83),in-stock
Thornbridge Lukas Can,Lager | 4.2% | 33 cl,£ 2.59,None,in-stock
Kompaan Bondgenoot,Pale Ale | 5.2% | 33 cl,£ 2.79,(3.32),in-stock
Wiper & True Small Beer,Pale Ale | 2.7% | 33 cl,£ 2.29,(3.37),in-stock
Seven Bro7hers Hoppy Pale,IPA | 3.8% | 33 cl,£ 2.49,(3.45),in-stock
Texels Noorderwiend,Brown Ale | 7.5% | 30 cl,£ 2.89,(3.50),in-stock
Magic Rock Salty Kiss,Sour Beer | 4.1% | 33 cl,£ 2.79,(3.48),in-stock
Postel Dubbel,Dubbel Beer | 7.0% | 33 cl,£ 2.69,(3.38),in-stock
Bellfield Lawless Village IPA,Lager | 4.5% | 33 cl,£ 2.49,(3.25),in-stock
Overworks Merciful Maverick,Saison Beer | 6.4% | 50 cl,£ 9.59,None,in-stock
Emelisse Blond IPA,IPA | 5.8% | 33 cl,£ 2.69,(3.51),in-stock
Brewdog Hazy Jane,IPA | 5.0% | 33 cl,£ 3.29,(3.75),in-stock
Bronckhorster Ijsselbock,Bock Beer | 7.0% | 33 cl,£ 3.39,(3.52),in-stock
Murphy's Irish Stout,Porter & Stout | 4.0% | 50 cl,£ 2.49,(3.51),in-stock
Bellfield Session Ale,Pale Ale | 3.8% | 33 cl,£ 2.39,None,in-stock
Brouwerij 'T Verzet Moose Blues,Brown Ale | 7.5% | 33 cl,£ 2.69,(3.36),in-stock
De Leckere Rode Toren,Bock Beer | 6.5% | 25 cl,£ 2.49,(3.41),in-stock
Overworks Cosmic Crush Tropical,Sour Beer | 5.6% | 50 cl,£ 8.39,None,in-stock
Hawkes Doom and Bloom,Cider | 4.0% | 33 cl,£ 2.59,(3.42),in-stock
Wilderen Kriek,Fruit Beer | 3.5% | 25 cl,£ 3.09,(3.24),in-stock
Asahi Super Dry,Lager | 5.2% | 33 cl,£ 2.49,(3.07),in-stock
Budels Herfstbock,Bock Beer | 6.5% | 30 cl,£ 2.29,(3.28),in-stock
"Budels Malty Dark 0,0%",Bock Beer | 0.0% | 30 cl,£ 2.49,(1.85),in-stock
Wilde Beer Co Fruitbooter,Sour Beer | 5.1% | 33 cl,£ 3.99,None,in-stock
Van Moll Opgebokt!,Bock Beer | 7.2% | 33 cl,£ 2.89,(3.48),in-stock
BrewDog Nanny State,IPA | 0.5% | 33 cl,£ 2.09,None,in-stock
Tre Fontane / Spencer Sinergia '19,IPA | 7.3% | 33 cl,£ 4.79,(3.75),in-stock
Big Drop Uptown Craft Lager,Lager | 0.5% | 33 cl,£ 2.09,(2.39),in-stock
Overworks Funk X Punk,Saison Beer | 5.5% | 50 cl,£ 5.99,None,in-stock
Fourpure Base Camp Pils Lager,Pilsner & Hoppy Lager | 4.7% | 33 cl,£ 2.59,(3.29),in-stock
Overworks Cosmic Crush Pear,Sour Beer | 6.0% | 50 cl,£ 8.39,None,in-stock
Wilde Beer Co Tepache,Sour Beer | 6.0% | 33 cl,£ 3.59,(3.65),in-stock
Brasserie De Sutter Brin de Folie,Blond Beer | 6.5% | 33 cl,£ 2.69,(3.42),in-stock
Desperados,Lager | 5.9% | 33 cl,£ 1.89,(3.15),in-stock
Lagunitas A Little Sumpin' Sumpin',IPA | 7.5% | 36 cl,£ 2.89,(3.87),in-stock
Brixton Reliance,Pale Ale | 4.0% | 33 cl,£ 2.69,None,in-stock
Magic Rock Cannonball,IPA | 7.4% | 33 cl,£ 3.29,(3.90),in-stock
La Débauche Saison,Saison Beer | 7.0% | 33 cl,£ 2.99,(3.45),in-stock
Maisel & Friends Hoppy Hell,Lager | 5.3% | 33 cl,£ 2.39,(3.76),in-stock
BrewDog Punk AF,Pale Ale | 0.5% | 33 cl,£ 2.29,(3.12),in-stock
Oedipus Madeleine,Bock Beer | 6.5% | 33 cl,£ 2.99,None,in-stock
Birra Ichnusa,Lager | 4.7% | 33 cl,£ 1.89,(2.85),in-stock
Brand Weizen,German Wheat Beer | 5.1% | 30 cl,£ 1.89,(3.59),in-stock
Oud Beersel Oude Geuze Vieille,Sour Beer | 6.0% | 38 cl,£ 5.89,(3.78),in-stock
Ninkasi Triple,Tripel Beer | 8.4% | 33 cl,£ 3.19,(3.54),out-of-stock
Jopen Gin Trinitas Tripel,Tripel Beer | 9.0% | 33 cl,£ 3.49,(3.53),out-of-stock
Fourpure Shapeshifter IPA,IPA | 5.9% | 33 cl,£ 2.69,(3.79),out-of-stock
Jopen Northsea IPA,IPA | 6.5% | 33 cl,£ 3.29,(3.86),out-of-stock
Brew Age Bienenstich,Bock Beer | 7.5% | 33 cl,£ 2.99,(3.35),out-of-stock
Fourpure Juicebox Citrus IPA,IPA | 5.9% | 33 cl,£ 2.69,(3.82),out-of-stock
Brouwerij Noordt New England IPA,IPA | 3.0% | 33 cl,£ 2.89,(3.52),out-of-stock
Vandeoirsprong Het Dubbele Bier,Dubbel Beer | 6.7% | 33 cl,£ 2.69,(3.40),out-of-stock
Seven Bro7hers Easy IPA,IPA | 4.7% | 33 cl,£ 2.69,(3.49),in-stock
Thornbridge Jaipur,IPA | 5.9% | 33 cl,£ 3.29,(3.95),out-of-stock
Magic Rock Saucery,| 3.9% | 33 cl,£ 2.29,None,out-of-stock
Heineken 0.0,Lager | 0.0% | 30 cl,£ 1.39,(2.30),out-of-stock
Affligem Blond 0.0%,Blond Beer | 0.0% | 30 cl,£ 1.79,(2.84),out-of-stock
BrewDog Dead Pony Club Can,Pale Ale | 3.8% | 33 cl,£ 2.49,None,out-of-stock
Fourpure Easy Peeler Session IPA,IPA | 4.0% | 33 cl,£ 2.39,(3.49),in-stock
Slot Oostende Gouden Gans,Tripel Beer | 8.0% | 33 cl,£ 2.79,(3.56),out-of-stock
Fourpure Hemisphere Session IPA,IPA | 4.2% | 33 cl,£ 2.49,(3.48),in-stock
Budels Kolos,Blond Beer | 7.5% | 30 cl,£ 2.89,(3.22),out-of-stock
Hawkes Dead and Berried,Cider | 4.0% | 33 cl,£ 2.59,(3.56),out-of-stock
La Blanche de Vézelay,White Beer | 4.4% | 50 cl,£ 3.99,(3.21),out-of-stock
First Chop SUP,IPA | 3.9% | 33 cl,£ 2.39,(3.24),out-of-stock
Magic Rock Fantasma,| 6.5% | 33 cl,£ 2.89,None,out-of-stock
Brothers In Law Australian Pale Ale,Pale Ale | 5.8% | 33 cl,£ 2.89,None,out-of-stock
BrewDog Punk IPA Can,IPA | 5.6% | 33 cl,£ 2.49,None,out-of-stock
Marshall Classic,Blond Beer | 6.5% | 33 cl,£ 2.59,(3.21),out-of-stock
Craftwerk Dark Season,Porter & Stout | 5.6% | 33 cl,£ 2.89,(2.97),out-of-stock
Rock City Beers Peach Squeezer,White Beer | 4.0% | 33 cl,£ 2.89,(3.48),out-of-stock
Grutte Pier Bock,Bock Beer | 8.0% | 33 cl,£ 2.99,(3.27),out-of-stock
Frontaal West,Bock Beer | 6.5% | 33 cl,£ 2.99,(3.29),out-of-stock
Wild Beer Co Nebula,IPA | 5.0% | 33 cl,£ 2.99,(3.66),in-stock
Lagunitas Daytime,IPA | 4.0% | 36 cl,£ 2.29,(3.68),in-stock
Pietra Bionda,Lager | 5.5% | 25 cl,£ 2.29,(3.12),out-of-stock
Wild Beer Co Millionaire,Porter & Stout | 4.7% | 33 cl,£ 3.50,(3.77),in-stock
Thornbridge Am:Pm,IPA | 4.5% | 33 cl,£ 3.09,(3.67),out-of-stock
Wild Sleeping Limes,Sour Beer | 4.6% | 33 cl,£ 2.39,None,out-of-stock
Brewdog Elvis Juice Can,Lager | 6.5% | 33 cl,£ 2.89,None,out-of-stock
Rockin' Ludina Brewery D'Olle Grieze,IPA | 7.0% | 33 cl,£ 2.99,(3.10),out-of-stock
Postel Tripel,Tripel Beer | 9.0% | 33 cl,£ 3.29,(3.58),out-of-stock
Bierbrouwerij Breugem Herfstbock,Bock Beer | 7.2% | 33 cl,£ 2.99,None,out-of-stock
Overworks Cosmic Crush Cherry,Sour Beer | 6.3% | 50 cl,£ 8.39,None,out-of-stock
Sol,Lager | 4.5% | 33 cl,£ 1.79,(3.01),in-stock
Boon Kriek,Fruit Beer | 4.0% | 38 cl,£ 3.19,(3.54),out-of-stock
Five Points Pils,Pilsner & Hoppy Lager | 4.8% | 33 cl,£ 2.49,None,out-of-stock
Lagunitas 12th of Never Ale,IPA | 5.5% | 36 cl,£ 2.29,(3.75),in-stock
Brixton Low Voltage,IPA | 4.3% | 33 cl,£ 2.69,None,in-stock
Wilderen Goud,Blond Beer | 6.2% | 33 cl,£ 2.49,(3.51),out-of-stock
Jopen Hop zij met ons,IPA | 6.0% | 33 cl,£ 3.29,(3.49),out-of-stock
Mondo Little Victories,IPA | 4.3% | 33 cl,£ 2.89,None,out-of-stock
Erdinger Hefeweizen,German Wheat Beer | 5.3% | 50 cl,£ 2.69,(3.71),out-of-stock
Postel Blond,Blond Beer | 7.0% | 33 cl,£ 2.49,(3.45),out-of-stock
Magic Rock High Wire Grapefruit,Pale Ale | 5.5% | 33 cl,£ 2.89,(3.71),out-of-stock
Brand UP,Pilsner & Hoppy Lager | 5.5% | 30 cl,£ 1.89,(3.25),out-of-stock
Chimay Blauw,Quadrupel Beer | 9.0% | 33 cl,£ 3.39,(3.99),out-of-stock
Leffe Bruin,Dubbel Beer | 6.5% | 30 cl,£ 2.69,(3.64),out-of-stock
Brouwerij 't IJ Columbus,Blond Beer | 9.0% | 33 cl,£ 3.39,(3.60),out-of-stock
Oedipus Thai Thai,Tripel Beer | 8.0% | 33 cl,£ 3.39,(3.64),out-of-stock
Brooklyn Sorachi Ace,Saison Beer | 7.2% | 36 cl,£ 3.99,(3.69),out-of-stock
Affligem Blond,Blond Beer | 6.8% | 30 cl,£ 1.89,(3.76),in-stock
Westmalle Tripel,Tripel Beer | 9.5% | 33 cl,£ 2.99,(3.93),in-stock
Hapkin,Blond Beer | 8.5% | 33 cl,£ 2.49,(3.53),in-stock
Rochefort 6',Dubbel Beer | 7.5% | 33 cl,£ 2.89,(3.82),out-of-stock
St. Bernardus Tripel,Tripel Beer | 8.0% | 33 cl,£ 3.09,(3.89),out-of-stock
Tripel Karmeliet,Tripel Beer | 8.4% | 33 cl,£ 2.99,(4.10),out-of-stock
Dupont Saison,Saison Beer | 6.5% | 33 cl,£ 2.59,(3.78),out-of-stock
Wiper & True Kaleidoscope,Pale Ale | 4.2% | 33 cl,£ 2.69,(3.68),out-of-stock
Wild Beer Co Redwood,Sour Beer | 5.6% | 33 cl,£ 3.99,None,out-of-stock
Grimbergen Dubbel,Dubbel Beer | 6.5% | 33 cl,£ 2.79,(3.64),out-of-stock
Orval,Blond Beer | 6.2% | 33 cl,£ 2.69,(3.92),in-stock
Grimbergen Triple,Tripel Beer | 9.0% | 33 cl,£ 3.29,(3.74),out-of-stock
Moinette Bruin,Brown Ale | 8.5% | 33 cl,£ 2.49,(3.57),out-of-stock
Sagres,Lager | 5.0% | 33 cl,£ 1.89,None,out-of-stock
En Stoemelings Hoppy Madame,White Beer | 4.5% | 33 cl,£ 2.89,(3.18),out-of-stock
Brooklyn Lager,Lager | 5.2% | 36 cl,£ 2.79,(3.51),out-of-stock
Pauwel Kwak,Amber & Red Ale | 8.4% | 33 cl,£ 2.99,(3.95),out-of-stock
Gouden Carolus Classic,Quadrupel Beer | 8.5% | 33 cl,£ 3.09,(3.80),out-of-stock
Beavertown Neck Oil,IPA | 4.3% | 33 cl,£ 2.59,(3.75),in-stock
Rochefort 8',Quadrupel Beer | 9.2% | 33 cl,£ 3.39,(4.03),in-stock
St. Bernardus Abt 12,Quadrupel Beer | 10.0% | 33 cl,£ 3.29,(4.11),out-of-stock
St. Bernardus Pater 6,Dubbel Beer | 6.7% | 33 cl,£ 2.59,(3.64),out-of-stock
Rivière d'Ain Blanche,White Beer | 5.3% | 33 cl,£ 3.39,(3.75),out-of-stock
De Molen Bommen & Granaten,Barley Wine | 11.9% | 33 cl,£ 4.69,(3.91),out-of-stock
Kasteel Tripel,Tripel Beer | 11.0% | 33 cl,£ 3.39,(3.67),out-of-stock
Belgosapiens Blanche de Thines,White Beer | 4.8% | 33 cl,£ 2.49,(3.27),out-of-stock
Brouwerij 't IJ IJwit,White Beer | 6.5% | 33 cl,£ 2.79,(3.61),out-of-stock
Duvel Tripel Hop,Blond Beer | 9.5% | 33 cl,£ 3.39,(3.77),out-of-stock
Duvel,Blond Beer | 8.5% | 33 cl,£ 3.09,(3.81),out-of-stock
Judas,Blond Beer | 8.5% | 33 cl,£ 2.49,(3.51),in-stock
Chimay Wit,Tripel Beer | 8.0% | 33 cl,£ 3.09,(3.81),in-stock
Silly Triple Swaf,Tripel Beer | 8.0% | 33 cl,£ 2.89,(3.31),out-of-stock
Five Points XPA,Pale Ale | 4.0% | 33 cl,£ 2.49,None,out-of-stock
Bruxellensis,Blond Beer | 6.5% | 33 cl,£ 3.49,(3.67),out-of-stock
Gouden Carolus Tripel,Tripel Beer | 9.0% | 33 cl,£ 3.19,(3.89),in-stock
Rochefort 10',Quadrupel Beer | 11.3% | 33 cl,£ 3.99,(4.26),out-of-stock
Houblon Chouffe,IPA | 9.0% | 33 cl,£ 3.29,(3.79),out-of-stock
Wiper & True Milkshake,Porter & Stout | 5.6% | 33 cl,£ 2.89,(3.88),out-of-stock
Blanche De Namur,White Beer | 4.5% | 25 cl,£ 1.99,(3.51),out-of-stock
Jopen Mooie Nel IPA,IPA | 6.5% | 33 cl,£ 2.99,(3.86),out-of-stock
Erdinger Hefeweizen,German Wheat Beer | 5.3% | 33 cl,£ 2.19,(3.71),out-of-stock
Jopen Koyt,Brown Ale | 8.5% | 33 cl,£ 3.29,(3.65),out-of-stock
Kompaan Vrijbuiter,Porter & Stout | 7.1% | 33 cl,£ 3.09,(3.48),out-of-stock
vandeStreek Playground IPA Alcoholvrij,IPA | 0.5% | 33 cl,£ 2.39,None,out-of-stock
Texels Skiller Wit,White Beer | 5.0% | 30 cl,£ 2.49,(3.33),out-of-stock
Brand Blond,Blond Beer | 8.5% | 30 cl,£ 2.29,(3.65),out-of-stock
Muifelbrouwerij Zuster Agatha,Quadrupel Beer | 10.0% | 33 cl,£ 3.69,(3.69),out-of-stock
Mort Subite Geuze Lambic,Sour Beer | 4.5% | 25 cl,£ 1.89,(3.30),out-of-stock
Lindemans Framboos,Fruit Beer | 2.5% | 25 cl,£ 2.39,(3.94),out-of-stock
Gebrouwen Door Vrouwen Bloesem Blond,Blond Beer | 6.2% | 33 cl,£ 2.99,(3.51),out-of-stock
Chouffe Soleil,Blond Beer | 6.0% | 33 cl,£ 2.99,(3.73),out-of-stock
vandeStreek Bier Hop Art,IPA | 5.0% | 33 cl,£ 2.89,(3.34),out-of-stock
Lowlander White Ale,White Beer | 5.0% | 33 cl,£ 2.99,(3.48),in-stock
Crew Republic Foundation 11,Pale Ale | 5.6% | 33 cl,£ 2.89,(3.63),out-of-stock
Kasteel Blonde,Blond Beer | 7.0% | 33 cl,£ 2.59,(3.49),out-of-stock
Kompaan Kameraad,Pilsner & Hoppy Lager | 5.0% | 33 cl,£ 2.49,(3.23),out-of-stock
Texels Skuumkoppe,German Wheat Beer | 6.0% | 30 cl,£ 2.79,(3.72),out-of-stock
Brouwerij Noordt Noordtsingle,Lager | 4.5% | 33 cl,£ 2.79,(3.52),out-of-stock
Bird Brewery Datisandere Koekoek,Saison Beer | 5.6% | 33 cl,£ 2.89,(3.46),out-of-stock
Brand Winter Bock,Amber & Red Ale | 7.5% | 30 cl,£ 2.29,(3.43),out-of-stock
Bird Brewery De Rumoerige Roodborst,Amber & Red Ale | 5.8% | 33 cl,£ 2.99,(3.58),out-of-stock
Jopen Jacobus RPA,Pale Ale | 5.5% | 33 cl,£ 2.89,(3.48),out-of-stock
Kompaan Handlanger,IPA | 8.2% | 33 cl,£ 3.39,(3.69),out-of-stock
Westmalle Dubbel,Dubbel Beer | 7.0% | 33 cl,£ 2.49,(3.76),out-of-stock
Leffe Blond,Blond Beer | 6.6% | 30 cl,£ 2.59,(3.71),out-of-stock
Iki Yuzu,Pale Ale | 4.5% | 33 cl,£ 2.29,(3.08),out-of-stock
Kompaan Joey Greenhorn,IPA | 6.0% | 33 cl,£ 2.99,(3.67),out-of-stock
Rodenbach Grand Cru,Sour Beer | 6.0% | 33 cl,£ 2.99,(4.05),out-of-stock
Palm,Pale Ale | 5.2% | 25 cl,£ 1.99,(3.36),out-of-stock
Brand Dubbelbock,Bock Beer | 7.5% | 30 cl,£ 2.39,(3.46),out-of-stock
Pilsner Urquell,| 4.4% | 33 cl,£ 2.29,(3.35),out-of-stock
Two Chefs Brewing Green Bullet IPA,IPA | 5.7% | 33 cl,£ 2.29,(3.64),out-of-stock
Oedipus Gaia IPA,IPA | 7.0% | 33 cl,£ 3.19,(3.69),out-of-stock
Jopen Life's A Beach Session IPA,IPA | 3.3% | 33 cl,£ 2.69,(3.51),out-of-stock
La Chouffe Blonde D'ardenne,Blond Beer | 8.0% | 33 cl,£ 3.09,(3.89),in-stock
Oedipus Mannenliefde,Saison Beer | 6.0% | 33 cl,£ 2.99,(3.49),out-of-stock
St. Bernardus Prior 8,Dubbel Beer | 8.0% | 33 cl,£ 2.99,(3.81),out-of-stock
Jopen 4 Granen Bokbier,Bock Beer | 6.5% | 33 cl,£ 2.79,(3.50),out-of-stock
Jopen Extra Stout,Porter & Stout | 5.5% | 33 cl,£ 2.89,(3.44),out-of-stock
Crew Republic Roundhouse Kick,Porter & Stout | 9.2% | 33 cl,£ 3.69,(3.78),out-of-stock
Emelisse Vanille Ice Cream Stout,Porter & Stout | 5.5% | 33 cl,£ 3.39,(3.66),out-of-stock
Oedipus Mama,Pale Ale | 5.0% | 33 cl,£ 2.89,(3.46),out-of-stock
Two Chefs Brewing Tropical Ralphie,German Wheat Beer | 5.0% | 33 cl,£ 2.79,(3.45),out-of-stock
Kompaan Bloedbroeder,Porter & Stout | 9.1% | 33 cl,£ 3.69,(3.58),out-of-stock
Two Chefs Brewing Funky Falcon,Pale Ale | 5.2% | 33 cl,£ 2.69,(3.61),out-of-stock
Lindemans Cassis,Fruit Beer | 3.5% | 38 cl,£ 2.89,(3.67),out-of-stock
Paulaner Hefeweizen Naturtrüb,German Wheat Beer | 5.5% | 50 cl,£ 2.79,(3.71),out-of-stock
Paulaner Hefe Weissbier Alcoholvrij,German Wheat Beer | 0.5% | 33 cl,£ 1.89,(2.67),out-of-stock
Cuvée des Trolls,Blond Beer | 7.0% | 25 cl,£ 2.19,(3.51),in-stock
